torneo,fecha,partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local,tiros_arco_local,intentos_local,fouls_local,corners_local,posesion_visitante,tiros_arco_visitante,intentos_visitante,fouls_visitante,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante
Clausura 2010,9,4,Godoy Cruz,Atl Tucuman,2,1,,,,,,,,,,,,,,
Clausura 2010,9,5,Racing Club,Argentinos,0,1,,,,,,,,,,,,,,
Clausura 2010,9,6,Banfield,Arsenal,0,0,,,,,,,,,,,,,,
Clausura 2010,9,7,Chacarita,Independiente,0,1,,,,,,,,,,,,,,
Clausura 2010,9,8,River Plate,Huracan,2,0,,,,,,,,,,,,,,
Clausura 2010,9,9,Tigre,Boca Juniors,3,0,,,,,,,,,,,,,,
Clausura 2010,9,10,Estudiantes (LP),Newells,2,0,,,,,,,,,,,,,,
Clausura 2010,10,1,Atl Tucuman,Estudiantes (LP),1,3,,,,,,,,,,,,,,
Clausura 2010,10,2,Independiente,Rosario Central,2,0,,,,,,,,,,,,,,
Clausura 2010,10,3,Godoy Cruz,Banfield,2,0,,,,,,,,,,,,,,
Clausura 2010,10,4,Huracan,Chacarita,2,0,,,,,,,,,,,,,,
Clausura 2010,10,5,Lanus,Racing Club,1,0,,,,,,,,,,,,,,
Clausura 2010,10,6,Newells,Velez,1,1,,,,,,,,,,,,,,
Clausura 2010,10,7,Gimnasia (LP),Arsenal,0,2,,,,,,,,,,,,,,
Clausura 2010,10,8,Boca Juniors,River Plate,2,0,,,,,,,,,,,,,,
Clausura 2010,10,9,Argentinos,Tigre,1,1,,,,,,,,,,,,,,
Clausura 2010,10,10,San Lorenzo,Colon,2,2,,,,,,,,,,,,,,
Clausura 2010,11,1,Racing Club,Newells,1,0,,,,,,,,,,,,,,
Clausura 2010,11,2,Velez,Atl Tucuman,1,0,,,,,,,,,,,,,,
Clausura 2010,11,3,Estudiantes (LP),Godoy Cruz,2,1,,,,,,,,,,,,,,
Clausura 2010,11,4,Banfield,Gimnasia (LP),3,2,,,,,,,,,,,,,,
Clausura 2010,11,5,Arsenal,San Lorenzo,1,0,,,,,,,,,,,,,,
Clausura 2010,11,6,Rosario Central,Huracan,0,2,,,,,,,,,,,,,,
Clausura 2010,11,7,Colon,Independiente,1,1,,,,,,,,,,,,,,
Clausura 2010,11,8,Chacarita,Boca Juniors,4,1,,,,,,,,,,,,,,
Clausura 2010,11,9,Tigre,Lanus,0,1,,,,,,,,,,,,,,
Clausura 2010,11,10,River Plate,Argentinos,0,1,,,,,,,,,,,,,,
Clausura 2010,12,1,Godoy Cruz,Velez,2,0,,,,,,,,,,,,,,
Clausura 2010,12,2,Atl Tucuman,Racing Club,0,1,,,,,,,,,,,,,,
Clausura 2010,12,3,San Lorenzo,Gimnasia (LP),0,1,,,,,,,,,,,,,,
Clausura 2010,12,4,Argentinos,Chacarita,2,1,,,,,,,,,,,,,,
Clausura 2010,12,5,Lanus,River Plate,1,0,,,,,,,,,,,,,,
Clausura 2010,12,6,Boca Juniors,Rosario Central,1,2,,,,,,,,,,,,,,
Clausura 2010,12,7,Independiente,Arsenal,1,0,,,,,,,,,,,,,,
Clausura 2010,12,8,Estudiantes (LP),Banfield,1,1,,,,,,,,,,,,,,
Clausura 2010,12,9,Newells,Tigre,0,2,,,,,,,,,,,,,,
Clausura 2010,12,10,Huracan,Colon,0,0,,,,,,,,,,,,,,
Clausura 2010,13,1,Rosario Central,Argentinos,0,1,,,,,,,,,,,,,,
